Parameter,Unit,Cell 1,
,,T1,T2
E-UTRA RF Channel Number,-,1,
BWchannel,MHz,10,
Special subframe configurationNote1,,6,
Uplink/downlink configurationNote1,,1,
PDSCH Reference measurement channel defined in A.3.1.1.2,,R.0 TDD,
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.2,-,R.6 TDD,
OCNG Pattern,-,OP.1 TDD,
PBCH_RA,dB,0,
PBCH_RB,,,
PSS_RA,,,
SSS_RA,,,
PCFICH_RB,,,
PHICH_RA,,,
PHICH_RB,,,
PDCCH_RA,,,
PDCCH_RB,,,
PDSCH_RA,,,
PDSCH_RB,,,
OCNG_RANote 2,,,
OCNG_RBNote 2,,,
Note3,dBm/15 kHz,-98,
,dB,16,
RSRP Note4,dBm/15 kHz,-82,
SCH_RP Note 4,dBm/15 kHz,-82,
Propagation Condition,-,AWGN,
Correlation Matrix and Antenna Configuration,-,1x2 Low,
Note 1:For special subframe and uplink-downlink configurations see Tables 4.2-1 and 4.2-2 in TS 36.211 [16].Note 2:OCNG shall be used such that cell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 3:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 4:RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,
