Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,2,FDD band
Channel Bandwidth (BWchannel),MHz,10,
Active cell,,Cell 1,E-UTRA FDD Cell1 on RF channel number 2
CP length of Cell 1,,Normal,
PDCCH/PCFICH/PHICH Reference measurement channelNote1,,R.6 FDD,
OCNG PatternNote2,,OP.2 FDD,
PBCH_RA,dB,0,
PBCH_RB,,,
PSS_RA,,,
SSS_RA,,,
PCFICH_RB,,,
PHICH_RA,,,
PHICH_RB,,,
PDCCH_RA,,,
PDCCH_RB,,,
OCNG_RANote3,,,
OCNG_RBNote3,,,
,dBm/15 kHz,-98,
,dB,3,
RSRP Note4,dBm/15 kHz,-95,
SCH_RP Note 4,dBm/15 kHz,-95,
Propagation condition,,AWGN,
"Note 1:For the reference measurement channels, see clause A.3.1.Note 2:For the OCNG pattern, see clause A.3.2.Note 3:OCNG shall be used such that Cell 1 is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 4:RSRP and SCH_RP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.",,,
