Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,1,
Satellite Orbit Configuration,,,NGSO,
Active cell,,,Cell 1,
Neighbour cell,,,Cell 2,Cell to be identified.
CP length,,,Normal,
DRX,,,ON,
DRX cycle length,,s,1.28,The value shall be used for all cells in the test.
A3,Offset,dB,-6,
,Hysteresis,dB,0,
,Time To Trigger,s,0,
Filter coefficient,,,0,L3 filtering is not used
Gap pattern ID,,,1,
T1,,s,5,
T2,,s,8,
T3,,s,>5,
T4,,s,8,
