Parameter,,Unit,Value,Comment
E-UTRA RF Channel Number,,,1,TDD carrier in Band 47
Channel Bandwidth (BWchannel),,MHz,10,
V2X sidelink communication configuration,,,As specified in Table A.3.24.2-2(Configuration #2),IE values unless specified otherwise in this test.
sl-Subframe-r14 included in SL-configV2X-TxPoolList,,,1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,"Indicates the bitmap of the TX resource pool, which is defined by repeating the bitmap within a SFN cycle (see TS 36.213 [23])"
numSubchannel-r14 included in SL-configV2X-TxPoolList,,,1,ENUMERATED {n1}
threshS-RSSI-CBR,,,21,Corresponding -70dBm as defined in Section 6.3.8 in TS36.331
Number of Active Sidelink UEs every 100ms,,,4,"Active Sidelink UE i, where i = 0, 1, 2, 3"
Active Sidelink UEs,V2X sidelink Communication configuration,,As specified in Table A.3.24.2-2(Configuration #2),IE values unless specified otherwise in this test.
,sl-Subframe-r14 included in SL-configV2X-TxPoolList,,1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"Indicates the bitmap of the TX resource pool, which is defined by repeating the bitmap within a SFN cycle (see TS 36.213 [23])"
,numSubchannel-r14 included in SL-configV2X-TxPoolList,,1,ENUMERATED {n1}
,sl-OffsetIndicator-r14,,i,"For Active Sidelink UE i, where i = 0, 1, 2, 3"
Timing offset between V2X UE and Active Sidelink UEs,,s,3,Synchronous
v1-Threshold,,,2,Corresponding 0.02 as defined in Section 6.3.8 in TS36.331
Hysteresis,,,0,
Time To Trigger,,s,0,
Filter coefficient,,,0,L3 filtering is not used
T1,,s,5,
T2,,s,5,
