Parameter,,Unit,Value
,,,Test 1
NB-IoT Operation mode,,,Standalone
DRX,,,OFF
Satellite information,Config 1,,SSC.1
,"Config 2,3",,SSC.2
NPDCCH repetition level,,,1
npdcch-StartSF-USS Note 1,,,v8
npdcch-NumRepetitions-r13 Note 1,,,r1
NPUSCH resource units,,,1
NPUSCH repetition level,,,1
Note 1:For further information see clause 6.7.3.2 in TS 36.331 [2].,,,
