Parameter,,Unit,Value,Comment
PCell,,,Cell 1,Serving/aggressor cell
Neighbour cells,,,Cell 2,Neighbour/aggressor cell
,,,Cell3,Cell to be measured
Special subframe configuration,,,6,"For Cell 1, Cell 2 and Cell 3. For special subframe configurations see Table 4.2-1 in [16]."
Uplink/downlink subframe configuration,,,1,"For Cell 1, Cell 2 and Cell 2. For uplink-downlink subframe configurations see Table 4.2-2 in [16]."
ABS transmission configuration,,,Non-MBSFN ABS,As defined in Table A.3.4.1.1-1
CP length,,,Normal,For all cells in the test
DRX,,,,OFF
Time offset between cells,,s,Cell 2 offset with respect to Cell 1: 0Cell 3 offset with respect to Cell 1: -2.5,Three synchronous cells
Physical cell IDs,,,(PCIcell1 - PCIcell3 )mod6 = 0(PCIcell2 - PCIcell3 )mod6 != 0PCIcell1 not equal to PCIcell3,Cell PCIs are selected so that all conditions are met
ABS pattern,,,‘00000000010000000001’,"TDD ABS Pattern Info IE, as defined in TS 36.423 [28], clause 9.2.54. The first/leftmost bit corresponds to the Pcell subframe #0 of the radio frame satisfying SFN mod x = 0, where x is the size of the bit string (20) divided by 10. No MBSFN subframes are configured in the ABS subframes.Provided fto the UE for Cell 1 and Cell 2."
Time domain measurement resource restriction pattern for neighbour cell measurements on RF Channel 1,,,‘00000000010000000001’,"Time domain measurement resource restriction pattern for neighbor cell measurement signalled to the UE in measSubframePatternNeigh IE in measSubframePatternConfigNeigh, as defined in TS 36.331, clause 6.3.5.Provided to the UE for Cell 3 measurements. The cell list in measSubframeCellList IE shall contain Cell 3 but not Cell 2."
Time-domain measurement resource restriction pattern for serving cell measurements,,,‘10000000001000000000’,Configured for Cell 1 measurements.
CRS assistance information,physCellId,,see PCI conditions above,Only the CRS assistance information of cell 2 is provided for Cell 2 only in CRS-AssistanceInfo. It includes a single MBSFN-SubframeConfig element with subframe allocation one Frame=’000000’.
,antennaPortsCount,,1,
,mbsfn-SubframeConfigList,,oneFrame = ‘000000’,
