Parameter,E-UTRA V2X operating band groups Note 2,MinimumV2X SCH_RP Note 1,V2X SCH Ês/Iot Note 3
,,dBm/15kHz,dB
,TDD_G,120,0
"NOTE 1:This condition level is increased by ∆>0, when applicable, as described in Sections B.4.2 and B.4.3.NOTE 2:E-UTRA V2X operating band groups are as defined in Section 3.5 for the corresponding E-UTRA operating bands.NOTE 3:V2X SCH Ês/Iot for a SyncRef UE is the minimum of the Ês/Iot of PSSS/PSBCH and the Ês/Iot of SSSSNOTE 4::The SyncRef UE transmission frequency shall be accurate to within ±5 PPM compared to the absolute frequency.",,,
