Parameter,Unit,Value,Comment
PCFICH/PDCCH/PHICH parameters,,Cell1: R.6 TDDCell2: R.11 TDDCell3: R.11 TDD,As specified in clause A.3.1.2.2
OCNG Patterns defined in A.3.2.2,,Cell1: OP.2 TDDCell2: OP.10 TDDCell3: OP.10 TDD,OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols (other than those in the PRS subframes). There is no PDSCH allocated in the subframe transmitting PRS.
Channel Bandwidth (BWchannel),MHz,Cell1: 10Cell2: 5Cell3: 5,
PRS Bandwidth,RB,Cell1: 50Cell2: 25Cell3: 25,PRS Bandwidthbandwidth is as indicated in prs-Bandwidth in the OTDOA assistance data defined in [24].
Number of  consecutive positioning downlink subframes,,2,As defined in TS 36.211
Note 1:See Table A.9.8.6.1-1 for other general test parameters.Note 2:N/A,,,
