Parameter,E-UTRA operating band groups Note 3,Minimum RSRP Note 1,MinimumSCH_RP Note 1,RSRP Ês/Iot,SCH Ês/Iot
,,dBm/15kHz,dBm/15kHz,dB,dB
Conditions,FDD-M1_A,-125,-125,-6,-6
,FDD-M1_B,-123.5,-123.5,,
,FDD-M1_D,-123.5,-123.5,,
,FDD-M1_E,-123,-123,,
,FDD-M1_F,-122.5 Note 2,-122.5 Note 2,,
,FDD-M1_G,-122,-122,,
,FDD-M1_N,-118.5,-118.5,,
"NOTE 1:This condition level is increased by ∆>0, when applicable, as described in Sections B.4.2.NOTE 2: The condition is -125 dBm/15kHz when the carrier frequency of the assigned E-UTRA channel bandwidth is within 865-894 MHz.NOTE 3:E-UTRA operating band groups are as defined in Section 3.5.",,,,,
