Parameter,,Unit,Value,Comment
NB-IoT operational mode,,,Standalone,
CP Length,,,Normal,
DRX,,,OFF,
NPUSCH repetition level,,,1,
T1,,s,15,Initialization period
T2 Note 1,,s,-,Evaluation period
Satellite information,Config 1,SSC.1,GSO,
,Config 2,SSC.2,NGSO,
,Config 3,SSC 2,NGSO TDD,
Note 1:This time period starts at the beginning of the NPDCCH period that carries the uplink grant for the channel quality report (section 8.14.4).,,,,
