Parameter,E-UTRA operating band groups Note 3,MinimumSCH_RP Note 1,SCH Ês/Iot
,,dBm/15kHz,dB
Conditions,"FDD_A, TDD_A",-127,-11.07
,"FDD_B1, FDD_B2",-126.5,
,"FDD_C, TDD_C",-126,
,FDD_D,-125.5,
,"FDD_E, TDD_E",-125,
,FDD_F,-124.5 Note 2,
,FDD_G,-124,
,FDD_H,-123.5,
,FDD_N,-120.5,
"NOTE 1:This condition level is increased by ∆>0, when applicable, as described in Sections B.4.2 and B.4.3.NOTE 2:The condition is -125 dBm/15kHz when the carrier frequency of the assigned E-UTRA channel bandwidth is within 865-894 MHz.NOTE 3:E-UTRA operating band groups are as defined in Section 3.5.",,,
