Parameter,Unit,Value,Comment
PDSCH parameters,,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2
PCFICH/PDCCH/PHICH parameters,,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2
E-UTRAN RF Channel Number,,1,One E-UTRAN TDD carrier frequency is used.
UTRAN RF Channel Number,,2,One UTRAN TDD carrier frequency is used.
E-UTRAN Channel Bandwidth (BWchannel),MHz,10,
Active cell,,Cell 1,E-UTRA TDD cell1 on RF channel number 1
Neighbour cell,,Cell 2,1.28Mcps UTRA TDD Cell2 on RF channel number 2
Gap Pattern Id,,1,As specified in TS 36.133 clause 8.1.2.1.
Uplink-downlink configuration of cell 1,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration of cell 1,,6,As specified in table 4.2.1 in TS 36.211
CP length of cell 1,,Normal,
Filter coefficient,,0,L3 filtering is not used
DRX,,OFF,
Time offset between cells,ms,3,Asynchronous cells
Inter-RAT (UTRAN TDD) measurement quantity,,P-CCPCH RSCP,
