Parameter,,Unit,Value,,Comment
,,,Test1,Test2,
E-UTRA RF Channel Number,,,1,1,One radio channel is used.
Active cell,,,Cell 1,Cell 1,
Neighbour cell,,,Cell 2,Cell 2,Cell to be identified.
CP length,,,Normal,Normal,
DRX,,,ON,ON,DRX related parameters are defined in Table A.14.5.1.2.1-3
A3,Offset,dB,-6,-6,
,Hysteresis,dB,0,0,
,Time To Trigger,s,0,0,
Filter coefficient,,,0,0,L3 filtering is not used
Gap pattern ID,,,0,0,
T1,,s,5,5,
T2,,s,5,30,
