Parameter,Unit,Value,Comment
RF Channel Number,,2,Band 47
Channel Bandwidth (BWchannel),MHz,10,According to principle defined in clause A.3.21
V2V sidelink communication resource pool configuration,,As specified in Table A.3.21.2-1,IE values unless specified otherwise in this test.(Preconfigured)
PSCCH Reference Measurement Channel,,CC.1,As specified in Table A.3.21.3-1
PSSCH Reference Measurement Channel,,CD.1,As specified in Table A.3.21.3-2
