Parameter,,Unit,Value,,Comment
NB-IoT operational mode,,,Standalone,,
Active cell,,,nCell 1,,
CP length,,,Normal,,
Satellite information,Config 1,,SSC.1,,GSO
,Config 2,,SSC.2,,NGSO HD-FDD
,Config 3,,SSC.2,,NGSO TDD
In sync transmission parameters(Note 1),DCI format,,Format N1,,As defined in TS 36.212 [21]
,Number of OFDM symbols for legacy control channels,,3,,"In sync threshold Qin_NB-IoT and the corresponding hypothetical NPDCCH transmission parameters are as specified in clause 7.23A.2 and Table 7.23A.2-1 respectively for HD-FDD and in clause 7.23B.2 and Table 7.23B.2-1 respectively for TDD, where NPDCCH Repetition level = Rmax/4 for HD-FDD and Rmax/2 for TDD , and Rmax is a configurable parameter defined in TS 36.331."
,NPDCCH aggregation level,eCCE,2,,
,NPDCCH repetition level,,Config 1 Config 2,2,
,,,Config 3,1,
,Ratio of NPDSCH to NRS EPRE,,0,,
,Ratio of NPDCCH to NRS EPRE,,0,,
Out of sync transmission parameters(Note 1),DCI format,,Format N1,,As defined in TS 36.212[21]
,Number of OFDM symbols for legacy control channels,,3,,"Out of sync threshold Qout_NB-IoT and the corresponding hypothetical NPDCCH transmission parameters are as specified in clause 7.23A.2 and Table 7.23A.2-1 respectively for HD-FDD and in clause 7.23B.2 and Table 7.23B.2-1 respectively for IoT NTN TDD, where NPDCCH Repetition level = Rmax, and Rmax is a configurable parameter defined in TS 36.331."
,NPDCCH aggregation level,eCCE,2,,
,NPDCCH repetition level,,Config 1 Config 2,8,
,,,Config 3,2,
,Ratio of NPDSCH to NRS EPRE,,0,,
,Ratio of NPDCCH to RS EPRE,dB,0,,
Layer 3 filtering,,,Enabled,,Counters:N310 = 1; N311 = 1
T310 timer,,ms,4000,,T310 is enabled
T311 timer,,ms,1000,,T311 is enabled
T1,,s,4,,
dT,,s,1.4,,
T2,,s,2.12,,
dT,,s,1.4,,
T3,,s,4,,
Note 1:NPDCCH corresponding to the in-sync and out of sync transmission parameters need not be included in the Reference Measurement Channel.,,,,,
