Parameter,Unit,Test 1,
,,T1,T2
BWchannel,MHz,10,
MPDCCH parameters as defined in A.3.1.3.1,,R.17 FDD,
OCNG Pattern defined in A.3.2.1.21 (FDD),,OP.21 FDD,
"A, B",,-3,
MPDCCH_RA,dB,0,
MPDCCH_RB,dB,0,
PBCH_RA,dB,-3,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
OCNG_RANote 1,dB,,
OCNG_RBNote 1,dB,,
,dBm/15 kHz,-98,
SNR Note 3,dB,6,0
Propagation condition,,AWGN,
Antenna Configuration,,2x1,
Channel quality report Note 4,,As defined in Table 9.1.21.22-1,
Note 1:OCNG shall be used such that the resources in cell # 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The signal contains PDCCH for UEs other than the device under test as part of OCNG.Note 3:SNR levels correspond to the signal to noise ratio over the cell-specific reference signal REs.Note 4:     SIB2 field mpdcch-CQI-Reporting set to ‘fourBits’ indicates 4-bit CQI reporting is allowed.,,,
