Parameter,Unit,Value,Comment
PCFICH/PDCCH/PHICH parameters,,Cell1: R.10 TDDCell2: R.6 TDDCell3: R.6 TDD,As specified in clause A.3.1.2.2
OCNG Patterns defined in A.3.2.2,,Cell1: OP.8 TDDCell2: OP.2 TDDCell3: OP.2 TDD,OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols (other than those in the PRS subframes). There is no PDSCH allocated in the subframe transmitting PRS.
Channel Bandwidth (BWchannel),MHz,Cell1: 20Cell2: 10Cell3: 10,
PRS Bandwidth,RB,Cell1: 100Cell2: 50Cell3: 50,PRS Bandwidthbandwidth is as indicated in prs-Bandwidth in the OTDOA assistance data defined in [24].
Note 1:See Table A.9.8.6.1-1 for other general test parameters.Note 2:N/A,,,
