Parameter,E-UTRA ProSe operating band groups Note 3,"MinimumSD-RSRP1,2 Note 1dBm/15kHz"
,FDD_D,-125.5
,FDD_E,-125
,FDD_F,-124.5
,FDD_G,-124
,FDD_N,-120.5
"NOTE 1:This condition level is increased by ∆>0, when applicable, as described in Sections B.4.2 and B.4.3.NOTE 2:VoidNOTE 3:E-UTRA ProSe operating band groups are as defined in Section 3.5 for the corresponding E-UTRA operating bands.",,
