Configuration,,Description
1,,"GEO/GSO, FDD-FDD duplex mode"
2,"NGSO, HD-FDD duplex mode",
"Note 1: If UE supports both NGSO and GSO, the test case Config 1 can be skipped if the UE passes test case Config 2. GEO configuration only applies for Rel-17 UEs. GSO configuration is applicable for Rel-18 and onward UEs, when SIB33 is provided to the UE.Note 2: Config 2 is applicable when SIB33 is provided to the UE.",,
