Parameter,Unit,Value,Comment
Serving cell (PCell),,Cell 1,The aggressor cell to Cell 2
Neighbour cell,,Cell 2,Cell to be measured
PCell ABS configuration,,MBSFN ABS,As defined in Table A.3.4.2.1-1
Special subframe configuration,,6,For Cell 1 and Cell 2. For special subframe configurations see Table 4.2-1 in [16].
Uplink/downlink subframe configuration,,1,For Cell 1 and Cell 2. For uplink-downlink subframe configurations see Table 4.2-2 in [16].
CP length,,Normal,For both cells in the test
DRX,,,OFF
Time offset between cells,,3 s,Synchronous cells
Physical cell ID PCI,,"(PCIcell1 - PCIcell2 )mod6 =0, PCIcell1 not equal to PCIcell2",Cell PCIs for Cell 1 and Cell 2 are selected randomly so that the condition is met
ABS pattern,,‘00001000000000100000’,"MBSFN ABS pattern. TDD ABS Pattern Info IE, as defined in TS 36.423 [28], clause 9.2.54. Configured in Cell 1.The first/leftmost bit corresponds to the subframe #0 of a radio frame satisfying SFN mod x = 0, where x is the size of the bit string (20) divided by 10. All ABS subframes are MBSFN subframes."
Time-domain measurement resource restriction pattern for neighbour cell measurements on RF Channel 1,,‘00001000000000100000’,"Configured for Cell 2 measurements by measSubframePatternNeigh IE in measSubframePatternConfigNeigh, as defined in TS 36.331 [2], clause 6.3.5. measSubframeCellList contains Cell 2."
Time-domain measurement resource restriction pattern for serving cell measurements,,‘10000000001000000000’,Configured for measurements on Cell 1.
