Parameter,E-UTRA V2X operating band groups Note2,MinimumS-RSRP Note 1
,,dBm/15kHz
,TDD_G,-124
"NOTE 1:This condition level is increased by ∆>0, when applicable, as described in Sections B.4.2 and B.4.3.NOTE 2:E-UTRA V2X operating band groups are as defined in Section 3.5 for the corresponding E-UTRA operating bands.",,
