Parameter,Unit,Value,Comment
PDSCH parameters (E-UTRAN TDD),,DL Reference Measurement Channel R.0 TDD,As specified in clause A.3.1.1.2.
PCFICH/PDCCH/PHICH parameters(E-UTRAN TDD),,DL Reference Measurement Channel R.6 TDD,As specified in clause A.3.1.2.2.
Active cell,-,Cell 1,
DRX,-,OFF,
Uplink-downlink configuration of cell 1,,1,As specified in table 4.2.2 in TS 36.211
Special subframe configuration of cell 1,,6,As specified in table 4.2.1 in TS 36.211
Gap pattern Id,,1,As specified in TS 36.133 clause 8.1.2.1.
Filtering coefficient,-,0,L3 filtering is not used.
Inter-RAT measurement quantity,,GSM Carrier RSSI,
Monitored cell list size,,6 GSM neighbours including ARFCN 1,Included in the Measurement control information
