Parameter,E-UTRA ProSe operating band groups Note 3,MinimumS-RSRP Note 1
,,dBm/15kHz
,FDD_D,-125.5
,FDD_E,-125
,FDD_F,-124.5 Note 2
,FDD_G,-124
,FDD_N,-120.5
"NOTE 1:This condition level is increased by ∆>0, when applicable, as described in Sections B.4.2 and B.4.3.NOTE 2:The condition is -125 dBm/15kHz when the carrier frequency of the assigned E-UTRA channel bandwidth is within 865-894 MHz.NOTE 3:E-UTRA ProSe operating band groups are as defined in Section 3.5 for the corresponding E-UTRA operating bands.",,
