Parameter,Unit,nrCell 1,,,,,nrCell 2,,,,,
,,T1,T2,T3,T4,T5,T1,T2,T3,T4,T5,
NR RF Channel number,,1,,,,,2,,,,,
BWchannel,MHz,5,,,,,5,,,,,
NOCNG Patterns,,BWchannel 5MHz: NOP.6 FDD,,,,,BWchannel 5MHz: NOP.6 FDD,,,,,
OCNGNote 1,,dB,BWchannel 5MHz: OP.1 in TS 38.133 [50],,,,,BWchannel 5MHz: OP.1 in TS 38.133 [50],,,,
Qrxlevmin,dBm,-140,-140,-140,-140,-140,-140,-140,-140,-140,-140,
Pcompensation,dB,0,0,0,0,0,0,0,0,0,0,
Qhysts,dB,0,0,0,0,0,0,0,0,0,0,
"Qoffsets, n",dB,0,0,0,0,0,0,0,0,0,0,
Note2,dBm/15 kHz,-98,,,,,-98,,,,,
,dBm,-12.6,-12.6,-12.6,-12.6,-12.6,-12.6,-12.6,-12.6,-12.6,-12.6,
Propagation Condition,,AWGN,,,,,AWGN,,,,,
Antenna Configuration,,1x1,,,,,1x1,,,,,
Timing offset to eCell 1,ms,-,,,,,3,,,,,
Note 1:OCNG shall be used such that the nrCell is fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power .Note 3:Es/Iot and RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.,,,,,,,,,,,,
