Field,,Value,,,,Comment,
Parameters not per NPRACH resource,,,,,,,
RSRP-ThresholdsNPRACH-InfoList,,"{39, 24}",,,,"Corresponding to {-101, -116} dBm as defined in Table 9.1.4-1",
nprach-CP-Length,,us66dot7,,,,,
nrs-Power,,-5 dBm/15 kHz,,,,As defined in clause 6.7.3 in TS 36.331.,
Backoff Parameter Index,,1,,,,As defined in table 7.2-2 in TS 36.321,
Configured UE transmitted power (),,"23 dBm for power class 3,20 dBm for power class 5",,,,As defined in clause 6.2B.4 in TS 36.102,
powerRampingStep,,dB2,,,,,
preambleInitialReceivedTargetPower,,dBm-112,,,,,
preambleTransMax-CE,,n6,,,,,
Parameters per NPRACH Resource,,,,,,,
NPRACH Resource,,Level 0,Level 1,Level 2,,,
nprach-Periodicity,"Config. 1, 2",ms40,ms240,ms1280,,,
,Config. 3,ms640,ms1280,ms2560,,,
nprach-StartTime,,ms8,ms64,ms512,,,
nprach-SubcarrierOffset,"Config 1, 2",n0,n0,n0,,,
,Config 3,n0,n12,n24,,,
nprach-NumSubcarriers,,n12,n12,n12,,,
nprach-SubcarrierMSG3-RangeStart,,zero,zero,zero,,,
maxNumPreambleAttemptCE,,n3,n6,n10,,,
numRepetitionsPerPreambleAttempt,"Config. 1, 2",n2,n8,n64,,,
,Config. 3,n4,n8,n16,,,
npdcch-NumRepetitions-RA,"Config. 1, 2",r4,r16,r128,,,
,Config. 3,r4,r8,r16,,,
npdcch-StartSF-CSS-RA,"Config. 1, 2",v1dot5,v1dot5,v1dot5,,,
,Config. 3,v16,v48,v64,,,
npdcch-Offset-RA,,zero,zero,Zero,,,
nprach-NumCBRA-StartSubcarriers,,n8,n8,n8,,,
ra-ResponseWindowSize (per NPRACH Resource),,pp2,pp2,pp2,,,
mac-ContentionResolutionTimer (per NPRACH Resource),,pp8,pp8,pp8,,,
Note 1:See Clause 6.7.3 in TS 36.331 for further information on the parameters in this table.,,,,,,,
