Parameter,Unit,"Active Sidelink UE i (i = 0, 1, 2, 3)",
,,T1,T2
E-UTRA RF Channel Number,,1,
BWchannel,MHz,10,
PSCCH RMC (defined in A.3.24.3),,CC.1A TDD,
PSSCH RMC (defined in A.3.24.3),,CD.1A TDD,
Note1,dBm/15 KHz,-106,
PSCCH,dB,7.19,13.19
PSSCH,dB,4.19,10.19
PSSCH-RSRP Note 2,dBm/15 KHz,-101.81,-95.81
S-RSSI1 Note 2 Note3,dBm/9 MHz,-72.5,-67.5
S-RSSI2 Note 2 Note4,dBm/9 MHz,-78.22,-78.22
Io1 Note 2 Note4,dBm/9 MHz,-72.5,-67.5
Io2 Note 2 Note6,dBm/9 MHz,-78.22,-78.22
Propagation Condition,-,AWGN,
"Note 1:Interference from other UEs and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 2:PSSCH Es/Noc, PSSCH-RSRP, S-RSSI1, S-RSSI2, Io1 and Io2 levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 3:S-RSSI1 is the S-RSSI level measured on the subframe# 0 - 3 with “SFN mod 10 = 0”.Note 4:S-RSSI2 is the S-RSSI level measured on the subframe# 4-9 with “SFN mod 10 = 0” and the subframe# 0-9 with “SFN mod 10 = 1,…, 9”.Note 5:Io1 is the Io level measured on the subframe# 0 - 3 with “SFN mod 10 = 0”.Note 6:Io2 is the Io level measured on the subframe# 4-9 with “SFN mod 10 = 0” and the subframe# 0-9 with “SFN mod 10 = 1,…, 9”.",,,
