Parameter,Unit,Value,Comment
Active cell,,Cell 1,Serving cell on RF channel number 1
Active SyncRef UE,,SyncRef UE 1,Transmitting SLSS+MIB-SL on RF channel number 2 (TDD carrier in Band 47)
V2X sidelink Communication configuration,,As specified in Table A.3.24.2-2(Configuration #2),IE values unless specified otherwise in this test.
networkControlledSyncTx,,Not configured,
syncTxThreshIC,dBm/15 kHz,-110,In SIB21
DRX,,OFF,
T1,s,3,
T2,s,5.24,
T3,s,5.24,
