Parameter,Unit,Value,Comment
E-UTRA RF Channel Number,,1,
Channel Bandwidth (BWchannel),MHz,5 or 10,According to principle defined in clause A.3.12.3
Active cell,,None,
Active SyncRef UE,,SyncRef UE 1,Transmitting SLSS+MIB-SL on uplink of RF channel number 1
ProSe Direct Communication preconfiguration,,As specified in Table A.3.12.5-2(Configuration #2),IE values unless specified otherwise in this test.
syncTxThreshOoC,dBm/15 kHz,-95,
T1,s,3,
T2,s,5.24,
T3,s,5.24,
