Parameter,Unit,Value,Comment
PCell,,Cell 1,Cell 1 on RF channel number 1
SCell 1,,Cell 2,Cell 2 is an SCell on RF channel number 2
SCell 2 (Assistance data reference cell),,Cell 3,Cell 3 is an SCell on RF channel number 3
Neighbour cell,,Cell 4,Cell 4 on RF channel number 3
PRS configuration index,,171 for all cells on PCC181 for all cells on SCC1191 for all cells on SCC2,"This corresponds to periodicity of 320 ms and PRS subframe offset of  DL subframes, as defined in TS 36.211 [16], Table 6.10.4.3-1"
prs-MutingInfo,,Cell1:‘11110000’Cell2:‘11110000’Cell3:’11110000’Cell4:’11110000’,See clause 6.5.1.2 in TS 36.355 for more information
prs-SubframeOffset,,"Cells on PCC: 300Cells on SCC1: 310Cells on SCC2, except reference cell: 0","Subframe offset, counted in full  subframes. The corresponding parameter in the OTDOA assistance data is prs-SubframeOffset specified in TS 36.355 [24]"
slotNumberOffset,,"Cells on PCC: 0Cells on SCC1: 0Cells on SCC2, except reference cell: 0",The slot number offset at the transmitter between a neighbour cell and the assistance data reference cell. The corresponding parameter in the OTDOA assistance data is slotNumberOffset specified in TS 36.355 [24].
Cell ID,,(Cell ID of cell 4 – Cell ID of cell 3) mod 6 = 3,PCIs of cell 1 and cell 2 are selected randomly.
expectedRSTD,s,Cell 1: -2Cell 2: 0 Cell 4: 2Other neighbour cells: randomly between -3 and 3,The expected RSTD is what is expected at the receiver. The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD indicator
expectedRSTDUncertainty for all neighbour cells,s,5,The corresponding parameter in the OTDOA assistance data specified in TS 36.355 [24] is the expectedRSTD-Uncertainty index
CP length,,Normal,
DRX,,OFF,
Radio frame receive time offset between  the cells at the UE antenna connector,s,Cell 1 to Cell 3: 1Cell 2 to Cell 3: -1Cell 4 to Cell 3: 3,PRS are transmitted from synchronous cells
"Time alignment errors between Cell 1, Cell 2, and Cell 3",s,Time alignment error as specified in 3GPP TS 36.104 [30] clause 6.5.3.1.,The value of time alignment error depends upon the type of carrier aggregation.
Number of cells provided in OTDOA assistance data,,16,"The list includes the assistance-data-reference cell (received in OTDOA-ReferenceCellInfo [24]) and 15 other cells, all received in OTDOA-ProvideAssistanceData [24]. Cell 1 and Cell 2 appears at random places in the first half of the neighbour cell list in the OTDOA assistance data. Cell 4 always appears at random places in the second half of the list."
,ms,4960,Derived according to the RSTD measurement requirements specified in Clause 8.1.2.6.1
