Parameter,Unit,T1,T2,T3
E-UTRA RF Channel Number,,1,,
BWchannel,MHz,10,,
V2X Sidelink Communication resource pool configuration,,As specified in Table A.3.24.2-1(Configuration #1),,
networkControlledSyncTx,,N/A,,
syncTxThreshOoC,dBm/ 15 kHz,+infinity,,
slssid,,0,,
inCoverage (in MIB-SL),,FALSE,,
syncOffsetIndicator,,syncOffsetIndicator2,,
Note1,dBm/ 15kHz,-95,,
,dB,-inf,-inf,0
Note 3,dB,-inf,-inf,0
"S-RSRP Note2,",dBm/ 15kHz,-inf,-inf,-95
Propagation Condition,,AWGN,,
Note 1:Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 2:S-RSRP levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 3:SSSS Es/Iot is set the same as PSSS/PSBCH Es/Iot.,,,,
