Parameter,Unit,Test 1,
,,T1,T2
BWchannel,MHz,10,
Special subframe configuration Note 5,,6,
Uplink-downlink configuration Note 5,,1,
MPDCCH parameters as defined in A.3.1.3.6,,R.17 TDD,
OCNG Pattern defined in A.3.2.1.21 (FDD),,OP.2 TDD,
MPDCCH_RA,dB,-3,
MPDCCH_RB,dB,,
PBCH_RA,dB,,
PBCH_RB,dB,,
PSS_RA,dB,,
SSS_RA,dB,,
OCNG_RANote 1,dB,,
OCNG_RBNote 1,dB,,
,dBm/15 kHz,-98,
SNR Note 3,dB,0,-6
Propagation condition,,AWGN,
Antenna Configuration,,2x1,
Channel quality report Note 4,,As defined in Table 9.1.21.22-1,
Note 1:OCNG shall be used such that the resources in cell # 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2:The signal contains PDCCH for UEs other than the device under test as part of OCNG.Note 3:SNR levels correspond to the signal to noise ratio over the cell-specific reference signal REs.Note 4:     SIB2 field mpdcch-CQI-Reporting set to ‘fourBits’ indicates 4-bit CQI reporting is allowed.Note 5:For special subframe and uplink-downlink configurations see Tables 4.2-1 and 4.2-2 in TS 36.211.,,,
