Configuration,SFN offset between MeNB and SeNB (ΔX),Frame boundary offset between MeNB and SeNB (ΔY),Subframe boundary offset between MeNB and SeNB (ΔZ).
1,100,-4,800
2,300,-2,900
3,500,0,1000
4,700,3,1100
5,900,5,1200
