Parameter,Value,Comment
Configuration 1,SSC.1,"GSO Test Configuration, HD-FDD duplex mode"
Configuration 2,SSC.2,"NGSO Test Configuration, HD-FDD duplex mode"
Configuration 3,SSC.2,"NGSO Test Configuration, TDD duplex mode"
