Parameter,Unit,Value,Comment
PCFICH/PDCCH/PHICH parameters,,R.10 TDD,As specified in clause A.3.1.2.2
OCNG Patterns defined in A.3.2.2.8,,OP.8 TDD,OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols (other than those in the PRS subframes). There is no PDSCH allocated in the subframe transmitting PRS.
Channel Bandwidth (BWchannel),MHz,20,
PRS Bandwidth,RB,100,PRS Bandwidthbandwidth is as indicated in prs-Bandwidth in the OTDOA assistance data defined in [24].
Note 1:See Table A.9.8.6.1-1 for other general test parameters.Note 2:N/A,,,
