Parameter,Unit,Test 1,Test 2,Test 3
,,Cell 1,Cell 1,Cell 1
E-UTRA RF Channel Number,,1,1,1
BWchannel,MHz,10,10,10
Gap Pattern Id,,0,0,0
Measurement bandwidth,,22—27,22—27,22—27
PDSCH Reference measurement channel defined in A.3.1.1.1,,R.0 FDD,R.0 FDD,R.0 FDD
PDSCH allocation,,13—36,13—36,13—36
PDCCH/PCFICH/PHICH Reference measurement channel defined in A.3.1.2.1,,R.6 FDD,R.6 FDD,R.6 FDD
OCNG Patterns defined in A.3.2.1.1 (OP.1 FDD),,OP.1 FDD,OP.1 FDD,OP.1 FDD
PBCH_RA,dB,0,0,0
PBCH_RB,,,,
PSS_RA,,,,
SSS_RA,,,,
PCFICH_RB,,,,
PHICH_RA,,,,
PHICH_RB,,,,
PDCCH_RA,,,,
PDCCH_RB,,,,
PDSCH_RA,,,,
PDSCH_RB,,,,
OCNG_RANote1,,,,
OCNG_RBNote1,,,,
Note2,dBm/15 kHz,-80,-104.70,-114.5
,dB,-1.75,-4.0,-4.0
RSRPNote3,dBm/15 kHz,-81.75,-108.70,-118.5
RSRQNote3,dB,-14.76,-16.25,-16.25
IoNote3,dBm/9 MHz,-50,-75.46,-85.26
,dB,-1.75,-4.0,-4.0
Propagation condition,-,AWGN,AWGN,AWGN
"Note 1: OCNG shall be used such that both cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.Note 2: Interference from other cells and noise sources not specified in the test is assumed to be constant over subcarriers and time and shall be modelled as AWGN of appropriate power for  to be fulfilled.Note 3: RSRQ, RSRP and Io levels have been derived from other parameters for information purposes. They are not settable parameters themselves.Note 4: RSRP and RSRQ minimum requirements are specified assuming independent interference and noise at each receiver antenna port.",,,,
