Value,Description
00,First byte of the Data field corresponds to the first byte of a RLC SDU.Last byte of the Data field corresponds to the last byte of a RLC SDU.
01,First byte of the Data field corresponds to the first byte of a RLC SDU.Last byte of the Data field does not correspond to the last byte of a RLC SDU.
10,First byte of the Data field does not correspond to the first byte of a RLC SDU.Last byte of the Data field corresponds to the last byte of a RLC SDU.
11,First byte of the Data field does not correspond to the first byte of a RLC SDU.Last byte of the Data field does not correspond to the last byte of a RLC SDU.
