NTRP,paramCombination-CJT-PS-alpha-r18,paramCombination-CJT-PS-r18,,,,
,,1,2,3,4,5
1,1,,,,x,
,2,x,,,x,
,3,x,x,x,x,x
2,1,x,,,x,
,2,x,,,,
,3,x,,,,
,4,,x,,,
,5,,x,,x,
3,1,x,,,x,
,2,x,,,,
,3,x,,,,
,4,x,,,,
,5,,x,,x,
,6,,x,,x,
,7,,x,,x,
,8,,x,,,x
4,1,x,,,,
,2,x,,,,
,3,,x,x,x,
,4,,,x,,
