"Number of CSI-RS antenna ports,  PCSI-RS","(N1,N2)","(X1(c),X2(c))"
48,"(8,3)","(1,1), (2,1), (4,1)"
,"(6,4)","(1,1), (2,1), (2,2)"
64,"(16,2)","(1,1), (2,1), (2,2), (4,1), (4,2)"
,"(8,4)","(1,1), (2,1), (2,2), (4,1), (4,2)"
128,"(16,4)","(1,1), (2,1), (2,2), (4,1), (4,2)"
,"(8,8)","(1,1), (2,1), (2,2), (4,1), (4,2)"
