Bitsb3N2O2X2(s)x1+x2+2b3N2O2X2(s)x1+x2+1b3N2O2X2(s)x1+x2,"Scaling factorsx1,x2"
000,14
001,123
010,122
011,16
100,12
101,13
110,12
111,1
