epre-Ratio,The number of PDSCH layers with DM-RS associated to the PT-RS port,,,,,
,1,2,3,4,5,6
0,0,3,4.77,6,7,7.78
1,0,0,0,0,0,0
2,reserved,,,,,
3,reserved,,,,,
