NTRP,paramCombination-CJT-L-r18,paramCombination-CJT-r18,,,,,,
,,1,2,3,4,5,6,7
1,1,,,x,x,,,
,2,,,x,x,x,x,
,3,,,,x,x,,
2,1,x,,,,,,
,2,x,,,,,,
,3,x,,,,,,
,4,,x,,x,,,x
3,1,x,x,,,,,
,2,x,x,,,,,
,3,x,x,,,,,
,4,x,x,,,,,
,5,x,x,x,x,x,,x
4,1,x,,,,,,
,2,x,,,,,,
,3,,,,x,x,,
,4,,x,,x,x,,
