"Number of CSI-RS antenna ports,  PCSI-RS","(Ng,N1,N2)","(O1,O2)"
48,"(2,4,3)","(4,4)"
,"(2,6,2)","(4,4)"
64,"(2,4,4)","(4,4)"
,"(2,8,2)","(4,4)"
,"(4,4,2)","(4,4)"
128,"(4,4,4)","(4,4)"
,"(4,8,2)","(4,4)"
