paramCombination-CJT-r18,pυ,,β
,"υ ∈1,2","υ ∈3,4",
1,1/8,1/16,¼
2,1/8,1/16,½
3,¼,1/8,¼
4,¼,1/8,½
5,¼,¼,¾
6,½,¼,½
7,½,½,½
