,1,2,3,4,5,6,7,8,9
0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
2,2,1,0,0,0,0,0,0,0
3,3,3,1,0,0,0,0,0,0
4,4,6,4,1,0,0,0,0,0
5,5,10,10,5,1,0,0,0,0
6,6,15,20,15,6,1,0,0,0
7,7,21,35,35,21,7,1,0,0
8,8,28,56,70,56,28,8,1,0
9,9,36,84,126,126,84,36,9,1
10,10,45,120,210,252,210,120,45,10
11,11,55,165,330,462,462,330,165,55
12,12,66,220,495,792,924,792,495,220
13,13,78,286,715,1287,1716,1716,1287,715
14,14,91,364,1001,2002,3003,3432,3003,2002
15,15,105,455,1365,3003,5005,6435,6435,5005
16,16,120,560,1820,4368,8008,11440,12870,11440
17,17,136,680,2380,6188,12376,19448,24310,24310
18,18,153,816,3060,8568,18564,31824,43758,48620
