paramCombination-r16,L,pυ,,β
,,"υ ∈1,2","υ ∈3,4",
1,2,¼,1/8,¼
2,2,¼,1/8,½
3,4,¼,1/8,¼
4,4,¼,1/8,½
5,4,¼,¼,¾
6,4,½,¼,½
7,6,¼,-,½
8,6,¼,-,¾
