"i1,3",υ=2,,"υ=3,4",,"υ=5,6,7,8",
,k1,k2,k1,k2,"(o1,k1)","(o2,k2)"
0,0,0,O1,0,"(O1,mod(i1,1,O1))","(1,0)"
1,O1,0,0,O2,"(1,0)","(O2,mod(i1,2,O2))"
2,0,O2,O1,O2,,
3,2O1,0,2O1,0,,
