paramCombination-Doppler-r18,L,pυ,,β
,,"υ ∈1,2","υ ∈3,4",
1,2,1/8,1/16,¼
2,2,¼,1/8,½
3,4,¼,1/8,¼
4,4,¼,¼,¼
5,4,¼,¼,½
6,4,¼,¼,¾
7,4,½,¼,½
8,6,¼,-,½
9,6,¼,-,¾
