Layers,typeI-codebookMode-r19 = 'modeA'
υ=1,"Wi1,1,i1,2,i2(1)"
,"where Wl,m,n(1)=1PCSI-RSvl,mφnvl,m"
υ=2,"Wi1,1,i1,1+k1,i1,2,i1,2+k2,i2(2)"
,"where and the mapping from  to  and  is given in Table 5.2.2.2.1a-3Wl,l',m,m',n(2)=12PCSI-RSvl,mvl',m'φnvl,m-φnvl',m'i1,3k1k2"
υ=3,"Wi1,1,i1,1+k1,i1,2,i1,2+k2,i2(3)"
,"where and the mapping from  to  and  is given in Table 5.2.2.2.1a-3Wl,l',m,m',n(3)=13PCSI-RSvl,mvl',m'vl,mφnvl,mφnvl',m'-φnvl,mi1,3k1k2"
υ=4,"Wi1,1,i1,1+k1,i1,2,i1,2+k2,i2(4)"
,"where and the mapping from  to  and  is given in Table 5.2.2.2.1a-3Wl,l',m,m',n(4)=14PCSI-RSvl,mvl',m'vl,mvl',m'φnvl,mφnvl',m'-φnvl,m-φnvl',m'i1,3k1k2"
υ=5,"Wi1,1,o1i1,1,2+k1,o1i1,1,3+k1,i1,2,o2i1,2,2+k2,o2i1,2,3+k2,i2(5)"
,"where and the mapping from  to  and  is given in Table 5.2.2.2.1a-3Wl,l',l'',m,m',m'',n(5)=15PCSI-RSvl,mvl,mvl',m'vl',m'vl'',m''φnvl,m-φnvl,mvl',m'-vl',m'vl'',m''i1,3(o1,k1)(o2,k2)"
υ=6,"Wi1,1,o1i1,1,2+k1,o1i1,1,3+k1,i1,2,o2i1,2,2+k2,o2i1,2,3+k2,i2(6)"
,"where and the mapping from  to  and  is given in Table 5.2.2.2.1a-3Wl,l',l'',m,m',m'',n(6)=16PCSI-RSvl,mvl,mvl',m'vl',m'vl'',m''vl'',m''φnvl,m-φnvl,mφnvl',m'-φnvl',m'vl'',m''-vl'',m''i1,3(o1,k1)(o2,k2)"
υ=7,"Wi1,1,o1i1,1,2+k1,o1i1,1,3+k1,o1i1,1,4+k1,i1,2,o2i1,2,2+k2,o2i1,2,3+k2,o2i1,2,4+k2,i2(7)"
,"where and the mapping from  to  and  is given in Table 5.2.2.2.1a-3Wl,l',l'',l''',m,m',m'',m''',n(7)=17PCSI-RSvl,mvl,mvl',m'vl'',m''vl'',m''vl''',m'''vl''',m'''φnvl,m-φnvl,mφnvl',m'vl'',m''-vl'',m''vl''',m'''-vl''',m'''i1,3(o1,k1)(o2,k2)"
υ=8,"Wi1,1,o1i1,1,2+k1,o1i1,1,3+k1,o1i1,1,4+k1,i1,2,o2i1,2,2+k2,o2i1,2,3+k2,o2i1,2,4+k2,i2(8)"
,"where  and the mapping from  to  and  is given in Table 5.2.2.2.1a-3Wl,l',l'',l''',m,m',m'',m''',n(8)=18PCSI-RSvl,mvl,mvl',m'vl',m'vl'',m''vl'',m''vl''',m'''vl''',m'''φnvl,m-φnvl,mφnvl',m'-φnvl',m'vl'',m''-vl'',m''vl''',m'''-vl''',m'''i1,3(o1,k1)(o2,k2)"
