rvid indicated by the DCI scheduling the PDSCH,rvid to be applied to nth transmission occasion,,,
,n mod 4 = 0,n mod 4 = 1,n mod 4 = 2,n mod 4 = 3
0,0,2,3,1
2,2,3,1,0
3,3,1,0,2
1,1,0,2,3
