UL-PTRS-power /,The number of PUSCH layers associated with the same SRS resource set as the PT-RS port,,
,1,2,
,All cases,Full coherent,Partial and non- coherent and non-codebook based
00,3Qp-3,3Qp,3Qp-3
01,3Qp-3,3Qp,3Qp
10,Reserved,,
11,Reserved,,
