ConfigSCell,Description
1,"NR 15 kHz SSB SCS, ≥10 MHz bandwidth, FDD duplex mode"
2,"NR 15 kHz SSB SCS, ≥10 MHz bandwidth, TDD duplex mode"
3,"NR 30 kHz SSB SCS, ≥40 MHz bandwidth, TDD duplex mode"
NOTE 1:The UE is only required to be tested in one of the supported test configurationsNOTE 2:The UE is only required to be tested in one with smallest aggregated channel bandwidth from supported band combinations which is composed of CCs ≥ the bandwidth (BWchannel) defined in each test configuration.NOTE 3:Test configurations for two NR SCells are selected independently.,
