Parameter,Unit,Test 1,,,,
,,T1,T2,T3,T4,T5
SNR_CSI-RS of set q0,dB,5,-3,-12,-12,-12
SNR_CSI-RS of set q1,dB,-10,-10,10,10,10
CSI-RS_RP of set q1,dBm/SCS kHz,-105,-105,-85,-85,-85
,dBm/15 kHz,-98,,,,
"NOTE 1:OCNG shall be used such that the resources in Cell 1 are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 2:The uplink resources for CSI reporting are assigned to the UE prior to the start of time period T1.NOTE 3:NZP CSI-RS resource set configuration for CSI reporting are assigned to the UE prior to the start of time period T1.NOTE 4:VoidNOTE 5:The timers and layer 3 filtering related parameters are configured prior to the start of time period T1.NOTE 6:The signal contains PDCCH for Ues other than the device under test as part of OCNG.NOTE 7:SNR levels correspond to the signal to noise ratio over the Res carrying CSI-RS.NOTE 8:The SNR in time periods T1, T2, T3, T4 and T5 is denoted as SNR1, SNR2 and SNR3 respectively in figure A.6.5.5.3.1-1.NOTE 9:The SNR values are specified for testing a UE which supports 2RX on at least one band. For testing of a UE which supports 4RX on all bands, the SNR during T3 is modified as specified in clause A.3.6.",,,,,,
