Config,Description
1,"Source cell: NR 15 kHz SSB SCS, 3 MHz bandwidth with 15PRB CBW, FDD duplex modeTarget cell: NR 15 kHz SSB SCS, 3 MHz bandwidth with 15PRB CBW, FDD duplex mode"
2,"Source cell: NR 15 kHz SSB SCS, 3 MHz bandwidth with 12PRB CBW, FDD duplex modeTarget cell: NR 15 kHz SSB SCS, 3 MHz bandwidth with 12PRB CBW, FDD duplex mode"
Note1: The UE is only required to be tested in one of the supported test configurationsNote2: Configuration 2 is only applied for the testing on band n100,
