Config,Description
1,"Source cell: NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeTarget cell: NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations,
