Parameter,Unit,Value,Comment
NR RF Channel Number,,"1, 2",Two NR radio channels are used for this test
Active PCell,,Cell 1,Primary cell on NR RF channel number 1.
Inter-frequency neighbor cell (SCell to-be),,Cell 2,Inter-frequency neighbor cell on NR RF channel number 2
CP length,,Normal,
DRX,,OFF,Continuous monitoring of primary cell
CSI reporting periodicity,ms,2,"CSI reporting periodicity for periodic reporting of CQI for PCell and, when added, SCell."
Timing offset between Cell 1 and Cell 2,s,MRTD,The value of maximum timing offset depends upon the carrier aggregation scenario.
T1,s,1,During this time period the PCell shall be known and Cell 2 shall be detected as an inter-frequency neighbor cell.
A3-offset,dB,-15,
THARQ,ms,k1×NR slot length,"k1 is a number of slots indicated by the PDSCH-to-HARQ_feedback timing indicator field in a corresponding DCI format or provided by dl-DataToUL-ACK if the PDSCH-to-HARQ feedback timing field is not present in the DCI format, the value is defined in 38.213 [3]"
TCSI_Reporting,ms,2,the delay uncertainty in acquiring the first available CSI reporting resources as specified in TS 38.331 [2]
k,ms,,As specified in clause 4.3 of TS 38.213 [3]
