Parameter,Unit,Value,,,,Comment
,,Test1,Test2,Test3,Test4,
NR RF Channel Number,,"1, 2, 3",,,,Three NR radio channels are used for this test
Active PCell,,Cell 1,,,,Primary cell on NR RF channel number 1 in FR1
SCell 1,,Cell 2,,,,SCell 1 on NR RF channel number 2 in FR1
SCell2,,Cell 3,,,,SCell2 on NR RF channel number 3 in FR1
CP length,,Normal,,,,
DRX,,OFF,,,,Continuous monitoring of primary cell
"CSI reporting periodicity, Non-dormant BWP",ms,2,,,,CSI reporting periodicity for periodic reporting of CQI for PCell and non-dormant SCells
"CSI reporting periodicity, Dormant BWP",ms,40,,,,CSI reporting periodicity for periodic reporting of CQI for dormant SCells
Timing offset between Cell 1 and Cell 2,ns,0,,,,
Timing offset between Cell 1 and Cell 3,ns,0,,,,
Triggering DCI format,,1_1,0_1,1_1,0_1,Triggering DCI format for triggering during active time
OFDM symbol range in slot for transmission of DCI with dormancy indication,,0 – 2,,3 – 11,,Test1 and Test3 are based on that triggering DCI is received within the first three OFDM symbols of a slot.Test2 and Test4 are based on that the triggering DCI is received later than within the first three OFDM symbols of a slot.
T1,s,0.2,,,,
T2,s,5,,,,
T3,s,0.2,,,,
