Configuration,Description
1,"NR SCS 15 kHz, BW 10 MHz, FDD"
2,"NR SCS 15 kHz, BW 10 MHz, TDD"
3,"NR SCS 30 kHz, BW 40 MHz, TDD"
NOTE:The UE is only required to pass in one of the supported test configurations in FR1,
