Config,Description
1,"Source PCell: FR1 NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeTarget PCell: FR1 NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeSource PSCell: NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex modeTarget PSCell: NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD duplex mode"
2,"Source PCell: FR1 NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeTarget PCell: FR1 NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeSource PSCell: FR1 NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex modeTarget PSCell: FR1 NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD duplex mode"
3,"Source PCell: FR1 NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeTarget PCell: FR1 NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeSource PSCell: FR1 NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex modeTarget PSCell: FR1 NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD duplex mode"
NOTE:The UE is only required to be tested in one of the supported test configurations,
