Configuration,Description
1,"NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD, LTE FDD"
2,"NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD, LTE FDD"
3,"NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD, LTE FDD"
4,"NR 15 kHz SSB SCS, 10 MHz bandwidth, FDD, LTE TDD"
5,"NR 15 kHz SSB SCS, 10 MHz bandwidth, TDD, LTE TDD"
6,"NR 30 kHz SSB SCS, 40 MHz bandwidth, TDD, LTE TDD"
NOTE:The UE is only required to be tested in one of the supported test configurations,
