Parameter,Unit,Test configuration,Cell 1,,,Cell 2,,
,,,T1,T2,T3,T1,T2,T3
PDSCH RMC,,1,SR.1.3 FDD,,,SR.1.3 FDD,,
RMSI CORESET,,1,CR.1.2 FDD,,,CR.1.2 FDD,,
Dedicated CORESET,,1,CCR.1.6 FDD,,,CCR.1.6 FDD,,
Io,dBm/2.7 MHz,1,-59.34,-57.61,-57.61,Same as parameters specified in Cell 1 columns-,,
