PH,Extended Power Headroom Level
0,EXTENDED_POWER_HEADROOM_0
1,EXTENDED_POWER_HEADROOM_1
2,EXTENDED_POWER_HEADROOM_2
3,EXTENDED_POWER_HEADROOM_3
4,EXTENDED_POWER_HEADROOM_4
5,EXTENDED_POWER_HEADROOM_5
6,EXTENDED_POWER_HEADROOM_6
7,EXTENDED_POWER_HEADROOM_7
8,EXTENDED_POWER_HEADROOM_8
9,EXTENDED_POWER_HEADROOM_9
10,EXTENDED_POWER_HEADROOM_10
11,EXTENDED_POWER_HEADROOM_11
12,EXTENDED_POWER_HEADROOM_12
13,EXTENDED_POWER_HEADROOM_13
14,EXTENDED_POWER_HEADROOM_14
15,EXTENDED_POWER_HEADROOM_15
