PH,Power Headroom Level
0,POWER_HEADROOM_0
1,POWER_HEADROOM_1
2,POWER_HEADROOM_2
3,POWER_HEADROOM_3
…,…
60,POWER_HEADROOM_60
61,POWER_HEADROOM_61
62,POWER_HEADROOM_62
63,POWER_HEADROOM_63
