Index,Backoff Parameter value (ms)
0,0
1,256
2,512
3,1024
4,2048
5,4096
6,8192
7,16384
8,32768
9,65536
10,131072
11,262144
12,524288
13,Reserved
14,Reserved
15,Reserved
