Operating band / SCS / Channel bandwidth/NRB,,,,,,
Operating Band,SCS kHz,20 MHz,40 MHz,60 MHz,80 MHz,100 MHz
n46,15,105,216,,,
,30,50,105,160,216,270
,60,24,50,75,105,135
"n96, n102",15,105,216,,,
,30,50,105,160,216,270
,60,24,50,75,105,135
